schema,input_bit,plaintext_rank,cipher_hamming_fraction,tweak_hamming_fraction
permit,1,3396,0.5,0.3333333333333333
permit,10,13,0.4166666666666667,0.5
permit,4,3179,0.75,0.6666666666666666
permit,7,1911,0.5833333333333334,0.5
permit,0,2710,0.5833333333333334,0.4166666666666667
permit,2,2991,0.3333333333333333,0.6666666666666666
permit,1,3235,0.3333333333333333,0.5833333333333334
permit,1,2050,0.6666666666666666,0.5833333333333334
permit,6,2754,0.5833333333333334,0.3333333333333333
permit,6,1619,0.16666666666666666,0.5
permit,8,2761,0.5833333333333334,0.6666666666666666
permit,3,3072,0.25,0.6666666666666666
permit,9,3780,0.5,0.5
permit,7,653,0.25,0.4166666666666667
permit,11,2294,0.3333333333333333,0.5833333333333334
permit,4,2037,0.4166666666666667,0.3333333333333333
permit,2,354,0.75,0.5833333333333334
permit,3,1585,0.4166666666666667,0.5
permit,10,3833,0.4166666666666667,0.4166666666666667
permit,8,1757,0.3333333333333333,0.4166666666666667
permit,1,3153,0.5,0.4166666666666667
permit,4,3683,0.5,0.5833333333333334
permit,6,308,0.5833333333333334,0.5833333333333334
permit,3,1665,0.5,0.3333333333333333
permit,9,1296,0.4166666666666667,0.5833333333333334
permit,10,3491,0.3333333333333333,0.5
permit,0,1111,0.4166666666666667,0.5833333333333334
permit,11,850,0.5,0.4166666666666667
permit,0,777,0.5,0.4166666666666667
permit,6,664,0.5833333333333334,0.3333333333333333
permit,8,352,0.4166666666666667,0.08333333333333333
permit,0,1767,0.3333333333333333,0.5833333333333334
permit,2,228,0.6666666666666666,0.5833333333333334
permit,4,3693,0.6666666666666666,0.4166666666666667
permit,5,382,0.6666666666666666,0.5
permit,8,2962,0.3333333333333333,0.6666666666666666
permit,8,1754,0.5833333333333334,0.5833333333333334
permit,10,3403,0.6666666666666666,0.4166666666666667
permit,9,1393,0.5,0.4166666666666667
permit,5,1806,0.5,0.4166666666666667
permit,6,2310,0.4166666666666667,0.6666666666666666
permit,6,2172,0.6666666666666666,0.5
permit,2,3901,0.5,0.3333333333333333
permit,8,3492,0.4166666666666667,0.75
permit,10,1769,0.5833333333333334,0.6666666666666666
permit,10,545,0.4166666666666667,0.5833333333333334
permit,5,690,0.5,0.5833333333333334
permit,9,2004,0.5833333333333334,0.6666666666666666
permit,3,3581,0.4166666666666667,0.4166666666666667
permit,9,1307,0.5833333333333334,0.5833333333333334
permit,0,2416,0.5,0.25
permit,10,2712,0.5833333333333334,0.3333333333333333
permit,8,1547,0.5833333333333334,0.5
permit,5,3362,0.6666666666666666,0.4166666666666667
permit,8,3676,0.3333333333333333,0.5
permit,5,1471,0.25,0.75
permit,5,3067,0.6666666666666666,0.6666666666666666
permit,5,1928,0.5833333333333334,0.6666666666666666
permit,5,1956,0.4166666666666667,0.3333333333333333
permit,11,2430,0.4166666666666667,0.5833333333333334
permit,2,2710,0.5,0.4166666666666667
permit,5,3439,0.5833333333333334,0.4166666666666667
permit,7,3549,0.5833333333333334,0.6666666666666666
permit,5,759,0.3333333333333333,0.6666666666666666
permit,0,806,0.4166666666666667,0.4166666666666667
permit,1,3284,0.5,0.5
permit,1,3952,0.5833333333333334,0.4166666666666667
permit,0,2890,0.16666666666666666,0.75
permit,1,3517,0.6666666666666666,0.6666666666666666
permit,0,2130,0.6666666666666666,0.4166666666666667
permit,4,2259,0.5833333333333334,0.25
permit,8,1111,0.16666666666666666,0.5833333333333334
permit,0,2640,0.4166666666666667,0.5833333333333334
permit,7,17,0.5833333333333334,0.5833333333333334
permit,6,1319,0.5833333333333334,0.9166666666666666
permit,0,1738,0.5833333333333334,0.5
permit,6,285,0.3333333333333333,0.4166666666666667
permit,5,3049,0.5833333333333334,0.4166666666666667
permit,10,1039,0.6666666666666666,0.5
permit,6,158,0.4166666666666667,0.6666666666666666
permit,2,1153,0.4166666666666667,0.4166666666666667
permit,6,3021,0.4166666666666667,0.6666666666666666
permit,11,948,0.5833333333333334,0.5833333333333334
permit,8,1226,0.5,0.5833333333333334
permit,4,3156,0.5833333333333334,0.6666666666666666
permit,10,1600,0.25,0.5
permit,2,460,0.3333333333333333,0.5833333333333334
permit,8,421,0.3333333333333333,0.5
permit,9,721,0.3333333333333333,0.3333333333333333
permit,9,323,0.3333333333333333,0.5
permit,3,309,0.5,0.6666666666666666
permit,8,2567,0.16666666666666666,0.4166666666666667
permit,9,3596,0.4166666666666667,0.5
