imbalance_ratio,domain,pdrs_bits,uper_avg_bits,pdrs_saving_bits
1,2048,11,11.0,0.0
2,1536,11,10.666666666666666,-0.3333333333333339
4,1280,11,10.6,-0.40000000000000036
8,1152,11,10.666666666666666,-0.3333333333333339
16,1088,11,10.764705882352942,-0.235294117647058
32,1056,11,10.848484848484848,-0.15151515151515227
64,1040,11,10.907692307692308,-0.09230769230769198
128,1032,11,10.945736434108527,-0.054263565891472965
256,1028,11,10.96887159533074,-0.03112840466926059
512,1026,11,10.982456140350877,-0.017543859649123306
1024,1025,11,10.990243902439024,-0.009756097560975618
