repetition,method,attempts,valid,validity_rate,unique,unique_rate,duplicates,root_branches,nodes_covered,bugs_found,first_bug_attempt
0,pdrs_without_replacement,3500,3500,1.0,3500,1.0,0,3,10,64,1
0,direct_grammar,3500,3500,1.0,1702,0.48628571428571427,1798,4,10,7,986
0,naive_rejection,3500,618,0.17657142857142857,319,0.5161812297734628,299,4,9,0,3501
0,mutation,3500,2303,0.658,756,0.3282674772036474,1547,2,6,1,2728
1,pdrs_without_replacement,3500,3500,1.0,3500,1.0,0,4,10,12,294
1,direct_grammar,3500,3500,1.0,1740,0.49714285714285716,1760,4,10,10,54
1,naive_rejection,3500,625,0.17857142857142858,322,0.5152,303,4,10,3,18
1,mutation,3500,2340,0.6685714285714286,823,0.35170940170940174,1517,2,6,5,369
2,pdrs_without_replacement,3500,3500,1.0,3500,1.0,0,4,10,20,145
2,direct_grammar,3500,3500,1.0,1714,0.4897142857142857,1786,4,10,8,445
2,naive_rejection,3500,692,0.1977142857142857,344,0.49710982658959535,348,4,10,4,20
2,mutation,3500,2284,0.6525714285714286,761,0.3331873905429072,1523,2,6,4,1066
3,pdrs_without_replacement,3500,3500,1.0,3500,1.0,0,3,10,21,121
3,direct_grammar,3500,3500,1.0,1688,0.48228571428571426,1812,4,10,7,8
3,naive_rejection,3500,668,0.19085714285714286,335,0.5014970059880239,333,4,10,2,2582
3,mutation,3500,2275,0.65,791,0.3476923076923077,1484,2,6,0,3501
4,pdrs_without_replacement,3500,3500,1.0,3500,1.0,0,3,10,18,79
4,direct_grammar,3500,3500,1.0,1730,0.4942857142857143,1770,4,10,8,7
4,naive_rejection,3500,634,0.18114285714285713,335,0.5283911671924291,299,4,10,1,2406
4,mutation,3500,2291,0.6545714285714286,771,0.336534264513313,1520,2,6,2,755
5,pdrs_without_replacement,3500,3500,1.0,3500,1.0,0,4,10,23,241
5,direct_grammar,3500,3500,1.0,1714,0.4897142857142857,1786,4,10,10,653
5,naive_rejection,3500,647,0.18485714285714286,328,0.5069551777434312,319,4,10,3,84
5,mutation,3500,2256,0.6445714285714286,766,0.3395390070921986,1490,2,6,5,79
6,pdrs_without_replacement,3500,3500,1.0,3500,1.0,0,3,10,25,123
6,direct_grammar,3500,3500,1.0,1728,0.4937142857142857,1772,4,10,9,339
6,naive_rejection,3500,671,0.19171428571428573,372,0.5543964232488823,299,4,9,2,11
6,mutation,3500,2261,0.646,757,0.3348076072534277,1504,2,6,2,2300
7,pdrs_without_replacement,3500,3500,1.0,3500,1.0,0,3,10,26,47
7,direct_grammar,3500,3500,1.0,1743,0.498,1757,4,10,11,293
7,naive_rejection,3500,660,0.18857142857142858,348,0.5272727272727272,312,4,10,1,1235
7,mutation,3500,2302,0.6577142857142857,775,0.3366637706342311,1527,2,6,1,3459
8,pdrs_without_replacement,3500,3500,1.0,3500,1.0,0,3,10,22,62
8,direct_grammar,3500,3500,1.0,1725,0.4928571428571429,1775,4,10,8,113
8,naive_rejection,3500,654,0.18685714285714286,324,0.4954128440366973,330,4,9,3,342
8,mutation,3500,2237,0.6391428571428571,807,0.3607510058113545,1430,2,6,2,768
9,pdrs_without_replacement,3500,3500,1.0,3500,1.0,0,4,10,22,230
9,direct_grammar,3500,3500,1.0,1726,0.49314285714285716,1774,4,10,8,758
