language,schema,domain,exhaustive_roundtrips,sample_vectors,vector_mismatches,missing_vectors,failures
c,administrative,40568,40568,2048,0,0,0
rust,administrative,40568,40568,2048,0,0,0
c,ai_actions,77,77,77,0,0,0
rust,ai_actions,77,77,77,0,0,0
c,calendar,731,731,731,0,0,0
rust,calendar,731,731,731,0,0,0
c,compiler_ast,134026,134026,2048,0,0,0
rust,compiler_ast,134026,134026,2048,0,0,0
c,fuzz_target,9911,9911,2048,0,0,0
rust,fuzz_target,9911,9911,2048,0,0,0
c,permit,4000,4000,2048,0,0,0
rust,permit,4000,4000,2048,0,0,0
c,telecom,5564,5564,2048,0,0,0
rust,telecom,5564,5564,2048,0,0,0
