language,schema,domain,iterations,rank_ns,unrank_ns
c,administrative,40568,200000,32.936145,13.09054
rust,administrative,40568,200000,24.06391,43.468535
python,administrative,40568,200000,1626.953855,1764.498495
c,ai_actions,77,200000,24.347795,10.5613
rust,ai_actions,77,200000,20.955435,55.33149
python,ai_actions,77,200000,1081.32254,1441.70688
c,calendar,731,200000,40.178975,14.990555
rust,calendar,731,200000,48.68507,56.045865
python,calendar,731,200000,1151.00662,1466.809835
c,compiler_ast,134026,200000,38.837705,16.22697
rust,compiler_ast,134026,200000,29.62298,88.088585
python,compiler_ast,134026,200000,1857.097035,2091.81029
c,fuzz_target,9911,200000,20.19476,9.156665
rust,fuzz_target,9911,200000,18.08906,39.249375
python,fuzz_target,9911,200000,1288.997055,1520.98259
c,permit,4000,200000,23.16292,9.54695
rust,permit,4000,200000,21.168785,36.376645
python,permit,4000,200000,1292.66343,1437.81939
c,telecom,5564,200000,23.90261,11.60165
rust,telecom,5564,200000,18.76528,38.451235
python,telecom,5564,200000,1601.669575,1764.430775
