family,depth,nodes,edges,domain_bits,compile_ms,rank_us_per_op,unrank_us_per_op
layered_dag,2,5,10,6,0.098115,1.31062,1.38562
layered_dag,4,9,20,12,0.137388,2.533694,2.477568
layered_dag,8,17,40,24,0.243877,4.831084,4.678338
layered_dag,16,33,80,48,0.460825,10.050778,9.22547
layered_dag,32,65,160,96,0.876865,19.412704,18.068962
layered_dag,64,129,320,192,1.729986,39.57263,36.011168
layered_dag,128,257,640,384,3.387485,80.084822,71.051212
layered_dag,256,513,1280,768,6.761637,183.860254,156.60225
layered_dag,512,1025,2560,1536,13.576318,407.771768,308.192432
layered_dag,1024,2049,5120,3072,28.264994,911.952564,627.947644
explicit_tree,3,40,39,5,0.327705,,
explicit_tree,4,121,120,7,0.946627,,
explicit_tree,5,364,363,8,2.789747,,
explicit_tree,6,1093,1092,10,8.322353,,
explicit_tree,7,3280,3279,12,25.608933,,
explicit_tree,8,9841,9840,13,88.496602,,
explicit_tree,9,29524,29523,15,345.463671,,
