branch_index,rank_ns,unrank_ns
0,796.3944,910.1358
1,812.9636,941.7132
2,810.439,920.251
3,806.1488,922.6254
4,809.8838,926.3442
5,807.4572,927.3462
6,814.9874,929.4542
7,813.204,936.1808
8,808.818,937.1526
9,811.008,930.8346
10,814.326,933.031
11,810.7976,933.5118
12,812.7352,938.3748
13,815.5904,940.7194
14,809.437,926.7852
15,801.879,924.03
16,798.7348,924.2984
17,799.7388,923.1322
18,801.482,926.18
19,797.4404,927.0576
20,801.7126,924.4608
21,796.697,920.8822
22,800.0372,928.1016
23,797.3882,931.7324
24,797.699,933.8044
25,799.358,928.0696
26,797.3862,922.2026
27,795.619,925.5168
28,799.5004,938.5572
29,799.5844,940.2624
30,790.7418,922.471
31,794.541,930.7726
32,801.6522,936.1748
33,781.6808,910.4004
34,796.3464,922.924
35,790.764,922.5972
36,793.503,920.9722
37,792.2086,919.6478
38,789.9244,919.806
39,788.215,915.035
40,791.894,920.6578
41,789.752,926.9356
42,794.1504,923.2406
43,791.1486,920.778
44,790.9842,921.9302
45,791.1386,923.9898
46,790.1286,929.1856
47,795.601,926.0138
48,794.7554,928.9192
49,792.6254,918.6778
50,794.6452,919.746
51,793.1404,918.4656
52,790.5956,927.2902
53,790.7518,925.9016
54,795.4426,917.8986
55,792.397,921.0484
56,794.1022,925.3684
57,803.5658,914.8288
58,792.6434,908.7494
59,803.083,919.9564
60,795.7932,924.605
61,795.9036,914.8386
62,790.8662,910.3464
63,789.4194,907.2906
64,793.5132,931.0532
65,792.2688,905.481
66,796.8372,911.262
67,799.4202,911.5426
68,796.5468,910.8814
69,788.0128,904.9864
70,786.7102,904.6616
71,783.9912,904.9
72,785.4478,902.6958
73,790.279,906.972
74,790.7178,905.0584
75,788.1572,903.6156
76,788.3052,903.836
77,788.0566,909.857
78,790.5712,904.8978
79,784.58,909.3762
80,787.4414,916.175
81,791.7134,915.7362
82,796.252,913.1254
83,791.8738,917.237
84,789.1848,906.7372
85,791.0802,910.1638
86,787.7,909.236
87,791.994,910.5062
88,788.8,910.0094
89,785.8584,912.1596
90,788.0366,909.815
91,785.4978,917.9684
92,788.5836,921.3928
93,793.8274,920.89
94,800.3076,916.2612
95,801.5658,919.2526
96,795.8672,915.0226
97,790.3668,917.253
98,788.8382,908.9274
99,784.8766,912.378
100,787.2068,906.8154
101,786.7642,919.8398
102,789.9322,915.9686
103,787.0948,912.2898
104,784.8706,910.35
105,781.9552,903.475
106,790.4672,908.3242
107,792.4788,919.0544
108,788.4132,909.7488
109,790.1524,907.2882
110,792.1364,909.0316
111,787.199,909.5104
112,791.964,917.0766
113,786.632,914.5898
114,786.103,908.0718
115,788.1106,911.2258
116,783.1174,912.3478
117,787.1248,915.6922
118,786.135,911.7406
119,790.485,911.6384
120,786.65,915.5698
121,791.9518,919.393
122,796.743,911.6546
123,793.727,919.4832
124,795.2842,928.9228
125,794.4806,915.4276
126,791.8598,917.5576
127,795.4224,914.1512
128,796.3322,906.6892
129,794.4666,909.0096
130,789.0824,908.0818
131,793.5048,911.0514
132,794.5648,915.2814
133,790.94,913.574
134,794.0998,907.657
135,790.5752,909.845
136,790.3308,909.6266
137,791.8316,908.2642
138,796.2922,913.52
139,791.2566,919.93
140,790.6896,919.898
141,788.7858,918.9882
142,792.5732,922.018
143,791.1142,924.3824
144,791.8838,925.707
145,794.711,919.2528
146,794.1562,920.381
147,797.0334,912.1094
148,803.2932,918.3912
149,799.7346,918.856
150,795.254,923.5468
151,793.8274,913.4118
152,793.7934,925.6688
153,798.6064,918.237
154,793.1042,917.9584
155,794.6048,912.3498
156,791.3148,909.344
157,795.8712,911.3678
158,790.3628,913.033
159,790.443,910.0294
160,791.1966,911.408
161,791.509,909.3844
162,789.4732,908.685
163,791.0802,914.9306
164,794.7372,934.6576
165,789.908,923.144
166,791.2406,918.792
167,794.2022,923.7732
168,793.4588,915.8584
169,794.5908,923.2502
170,795.8172,923.2724
171,796.4002,932.64
172,808.5952,907.3004
173,795.6088,914.0852
174,803.738,925.6346
175,797.9932,922.6774
176,798.8388,919.7596
177,796.8732,920.8438
178,799.001,912.3198
179,795.5786,907.8012
180,793.8174,921.4288
181,799.3296,909.246
182,795.0818,907.084
183,794.146,920.5812
184,796.316,916.4012
185,794.7212,940.8492
186,801.8484,933.8002
187,795.0418,910.6626
188,794.2842,906.9476
189,794.7332,921.09
190,798.1254,913.6742
191,788.6998,903.968
192,790.7756,919.2328
193,793.591,915.7582
194,794.8212,910.9812
195,793.7432,919.1106
196,792.8756,907.6128
197,797.8792,904.7976
198,792.7834,921.2244
199,796.1238,912.1074
200,800.49,905.8636
201,805.1586,921.4648
202,800.0852,912.488
203,805.1166,914.3014
204,803.5076,920.3968
