schema,branch,expected_probability,observed_probability,ratio
permit,research,0.3,0.2992066666666667,0.9973555555555557
permit,transit,0.5,0.5014933333333333,1.0029866666666667
permit,experimental,0.2,0.1993,0.9964999999999999
calendar,2024,0.5006839945280438,0.49954,0.9977151366120218
calendar,2025,0.4993160054719562,0.50046,1.0022911232876712
telecom,attach,0.09202012940330698,0.09122666666666666,0.9913772916666665
telecom,data,0.8281811646297628,0.82864,1.0005540277777778
telecom,handover,0.07764198418404025,0.07806,1.005383888888889
telecom,emergency,0.002156721782890007,0.0020733333333333333,0.9613355555555556
fuzz_target,common,0.807183937039653,0.8062933333333333,0.9988966533333332
fuzz_target,medium,0.08071839370396529,0.08096,1.0029932000000001
fuzz_target,rare,0.11199677126425184,0.11266666666666666,1.0059813813813814
fuzz_target,singleton,0.00010089799212995662,8e-05,0.79288
compiler_ast,literal,0.0021637592705892887,0.002086666666666667,0.9643709885057471
compiler_ast,variable,0.0009550385746049274,0.0009466666666666666,0.9912339583333333
compiler_ast,unary,0.00017906973273842388,0.00017333333333333334,0.9679655555555556
compiler_ast,binary,0.00322325518929163,0.00316,0.9803753703703704
compiler_ast,call,0.9934788772327757,0.9936333333333334,1.0001554699391173
