rank,message,mutation,lxml_valid,xmlschema_valid,validators_agree
1890202,pain.001.001.13,missing_msg_id,False,False,True
1890202,pain.001.001.13,invalid_currency,False,False,True
1890202,pain.001.001.13,negative_amount,False,False,True
1890202,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1890202,pain.001.001.13,wrong_namespace,False,False,True
203693,pain.001.001.13,missing_msg_id,False,False,True
203693,pain.001.001.13,invalid_currency,False,False,True
203693,pain.001.001.13,negative_amount,False,False,True
203693,pain.001.001.13,duplicate_nb_of_txs,False,False,True
203693,pain.001.001.13,wrong_namespace,False,False,True
1659937,pain.001.001.13,missing_msg_id,False,False,True
1659937,pain.001.001.13,invalid_currency,False,False,True
1659937,pain.001.001.13,negative_amount,False,False,True
1659937,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1659937,pain.001.001.13,wrong_namespace,False,False,True
1768611,pain.001.001.13,missing_msg_id,False,False,True
1768611,pain.001.001.13,invalid_currency,False,False,True
1768611,pain.001.001.13,negative_amount,False,False,True
1768611,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1768611,pain.001.001.13,wrong_namespace,False,False,True
2552319,pain.001.001.13,missing_msg_id,False,False,True
2552319,pain.001.001.13,invalid_currency,False,False,True
2552319,pain.001.001.13,negative_amount,False,False,True
2552319,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2552319,pain.001.001.13,wrong_namespace,False,False,True
4070807,pacs.008.001.14,missing_msg_id,False,False,True
4070807,pacs.008.001.14,invalid_currency,False,False,True
4070807,pacs.008.001.14,negative_amount,False,False,True
4070807,pacs.008.001.14,duplicate_nb_of_txs,False,False,True
4070807,pacs.008.001.14,wrong_namespace,False,False,True
2144084,pain.001.001.13,missing_msg_id,False,False,True
2144084,pain.001.001.13,invalid_currency,False,False,True
2144084,pain.001.001.13,negative_amount,False,False,True
2144084,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2144084,pain.001.001.13,wrong_namespace,False,False,True
2475577,pain.001.001.13,missing_msg_id,False,False,True
2475577,pain.001.001.13,invalid_currency,False,False,True
2475577,pain.001.001.13,negative_amount,False,False,True
2475577,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2475577,pain.001.001.13,wrong_namespace,False,False,True
882326,pain.001.001.13,missing_msg_id,False,False,True
882326,pain.001.001.13,invalid_currency,False,False,True
882326,pain.001.001.13,negative_amount,False,False,True
882326,pain.001.001.13,duplicate_nb_of_txs,False,False,True
882326,pain.001.001.13,wrong_namespace,False,False,True
2590404,pain.001.001.13,missing_msg_id,False,False,True
2590404,pain.001.001.13,invalid_currency,False,False,True
2590404,pain.001.001.13,negative_amount,False,False,True
2590404,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2590404,pain.001.001.13,wrong_namespace,False,False,True
1598021,pain.001.001.13,missing_msg_id,False,False,True
1598021,pain.001.001.13,invalid_currency,False,False,True
1598021,pain.001.001.13,negative_amount,False,False,True
1598021,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1598021,pain.001.001.13,wrong_namespace,False,False,True
2895481,pain.001.001.13,missing_msg_id,False,False,True
2895481,pain.001.001.13,invalid_currency,False,False,True
2895481,pain.001.001.13,negative_amount,False,False,True
2895481,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2895481,pain.001.001.13,wrong_namespace,False,False,True
845679,pain.001.001.13,missing_msg_id,False,False,True
845679,pain.001.001.13,invalid_currency,False,False,True
845679,pain.001.001.13,negative_amount,False,False,True
845679,pain.001.001.13,duplicate_nb_of_txs,False,False,True
845679,pain.001.001.13,wrong_namespace,False,False,True
1810475,pain.001.001.13,missing_msg_id,False,False,True
1810475,pain.001.001.13,invalid_currency,False,False,True
1810475,pain.001.001.13,negative_amount,False,False,True
1810475,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1810475,pain.001.001.13,wrong_namespace,False,False,True
4217278,pacs.008.001.14,missing_msg_id,False,False,True
4217278,pacs.008.001.14,invalid_currency,False,False,True
4217278,pacs.008.001.14,negative_amount,False,False,True
4217278,pacs.008.001.14,duplicate_nb_of_txs,False,False,True
4217278,pacs.008.001.14,wrong_namespace,False,False,True
3416328,pain.001.001.13,missing_msg_id,False,False,True
3416328,pain.001.001.13,invalid_currency,False,False,True
3416328,pain.001.001.13,negative_amount,False,False,True
3416328,pain.001.001.13,duplicate_nb_of_txs,False,False,True
3416328,pain.001.001.13,wrong_namespace,False,False,True
369661,pain.001.001.13,missing_msg_id,False,False,True
369661,pain.001.001.13,invalid_currency,False,False,True
369661,pain.001.001.13,negative_amount,False,False,True
369661,pain.001.001.13,duplicate_nb_of_txs,False,False,True
369661,pain.001.001.13,wrong_namespace,False,False,True
1512136,pain.001.001.13,missing_msg_id,False,False,True
1512136,pain.001.001.13,invalid_currency,False,False,True
1512136,pain.001.001.13,negative_amount,False,False,True
1512136,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1512136,pain.001.001.13,wrong_namespace,False,False,True
4059635,pacs.008.001.14,missing_msg_id,False,False,True
4059635,pacs.008.001.14,invalid_currency,False,False,True
4059635,pacs.008.001.14,negative_amount,False,False,True
4059635,pacs.008.001.14,duplicate_nb_of_txs,False,False,True
4059635,pacs.008.001.14,wrong_namespace,False,False,True
3247260,pain.001.001.13,missing_msg_id,False,False,True
3247260,pain.001.001.13,invalid_currency,False,False,True
