rank,spot_ok,strike_ok,homogeneity_error
3319528,True,True,0.0
945101,True,True,0.0
2311514,True,True,0.0
101846,True,True,0.0
829968,True,True,0.0
884305,True,True,0.0
1276159,True,True,0.0
3329185,True,True,0.0
2620526,True,True,0.0
2035403,True,True,0.0
1072042,True,True,0.0
1237788,True,True,0.0
441163,True,True,0.0
1295202,True,True,0.0
799010,True,True,0.0
1447740,True,True,0.0
422839,True,True,0.0
905237,True,True,0.0
2108639,True,True,0.0
1708164,True,True,0.0
184830,True,True,0.0
756068,True,True,0.0
2029817,True,True,0.0
1623630,True,True,0.0
3218489,True,True,0.0
3278084,True,True,0.0
404870,True,True,0.0
1869653,True,True,0.0
1016053,True,True,0.0
2657546,True,True,0.0
2803371,True,True,0.0
628422,True,True,0.0
3183654,True,True,0.0
1056402,True,True,0.0
203971,True,True,0.0
2643001,True,True,0.0
2284353,True,True,0.0
1454314,True,True,0.0
571573,True,True,0.0
2828404,True,True,0.0
601068,True,True,0.0
1011103,True,True,0.0
2340001,True,True,0.0
1925541,True,True,0.0
152645,True,True,0.0
1793536,True,True,0.0
1230450,True,True,0.0
1320787,True,True,0.0
602784,True,True,0.0
2312410,True,True,0.0
2572824,True,True,0.0
290228,True,True,0.0
2868037,True,True,0.0
1018008,True,True,0.0
2581598,True,True,0.0
2659073,True,True,0.0
2917362,True,True,0.0
339192,True,True,0.0
1459576,True,True,0.0
2560722,True,True,0.0
2999381,True,True,0.0
629745,True,True,0.0
497186,True,True,0.0
1437236,True,True,0.0
2652084,True,True,0.0
598482,True,True,0.0
460592,True,True,0.0
936637,True,True,0.0
2327031,True,True,0.0
1660609,True,True,0.0
2569713,True,True,0.0
2832184,True,True,0.0
2522456,True,True,0.0
1202906,True,True,0.0
1811299,True,True,0.0
1657367,True,True,0.0
1109689,True,True,0.0
2447826,True,True,0.0
892645,True,True,0.0
2028655,True,True,0.0
1276085,True,True,0.0
3160131,True,True,0.0
1742423,True,True,0.0
248398,True,True,0.0
1429165,True,True,0.0
1438334,True,True,0.0
2134306,True,True,0.0
579795,True,True,0.0
2726061,True,True,0.0
342736,True,True,0.0
