schema,method,domain,budget,unique,duplicates,duplicate_rate,expected_duplicates,seconds
simplefix,random_with_replacement,719287632,10000,10000,0,0.0,0.0691995094421145,0.0025389399999937723
simplefix,pdrs_without_replacement,719287632,10000,10000,0,0.0,0.0,0.0
simplefix,random_with_replacement,719287632,100000,99992,8,8e-05,6.947866110785981,0.02635521900000981
simplefix,pdrs_without_replacement,719287632,100000,100000,0,0.0,0.0,0.0
simplefix,random_with_replacement,719287632,500000,499808,192,0.000384,173.72713099216344,0.1318330360000033
simplefix,pdrs_without_replacement,719287632,500000,500000,0,0.0,0.0,0.0
quantlib,random_with_replacement,3358656,10000,9987,13,0.0013,14.870657798928733,0.002494318000003659
quantlib,pdrs_without_replacement,3358656,10000,10000,0,0.0,0.0,0.0
quantlib,random_with_replacement,3358656,100000,98534,1466,0.01466,1474.0109064697317,0.024414385999989463
quantlib,pdrs_without_replacement,3358656,100000,100000,0,0.0,0.0,0.0
quantlib,random_with_replacement,3358656,500000,464396,35604,0.071208,35437.10762290255,0.12296507899999654
quantlib,pdrs_without_replacement,3358656,500000,500000,0,0.0,0.0,0.0
iso20022,random_with_replacement,4320000,10000,9992,8,0.0008,11.563996222712376,0.0028101039999910427
iso20022,pdrs_without_replacement,4320000,10000,10000,0,0.0,0.0,0.0
iso20022,random_with_replacement,4320000,100000,98859,1141,0.01141,1148.516951692538,0.027814734999992652
iso20022,pdrs_without_replacement,4320000,100000,100000,0,0.0,0.0,0.0
iso20022,random_with_replacement,4320000,500000,471969,28031,0.056062,27850.37474853976,0.13818130500000336
iso20022,pdrs_without_replacement,4320000,500000,500000,0,0.0,0.0,0.0
