method,domain,domain_size,run_rows,stored_sequences,stored_samples,exact_evidence
feat,action_space,2496,60,60,32000,True
feat,balanced_product,2048,60,60,32000,True
feat,dependent_record,6288,60,60,32000,True
feat,imbalanced_choice,2322,60,60,32000,True
feat,protocol_message,1112,60,60,32000,True
grammarinator,action_space,2496,60,60,32000,False
grammarinator,balanced_product,2048,60,60,32000,False
grammarinator,dependent_record,6288,60,60,32000,False
grammarinator,imbalanced_choice,2322,60,60,32000,False
grammarinator,protocol_message,1112,60,60,32000,False
hypothesis,action_space,2496,60,60,32000,False
hypothesis,balanced_product,2048,60,60,32000,False
hypothesis,dependent_record,6288,60,60,32000,False
hypothesis,imbalanced_choice,2322,60,60,32000,False
hypothesis,protocol_message,1112,60,60,32000,False
pdrs,action_space,2496,60,60,32000,True
pdrs,balanced_product,2048,60,60,32000,True
pdrs,dependent_record,6288,60,60,32000,True
pdrs,imbalanced_choice,2322,60,60,32000,True
pdrs,protocol_message,1112,60,60,32000,True
quickcheck,action_space,2496,60,60,32000,False
quickcheck,balanced_product,2048,60,60,32000,False
quickcheck,dependent_record,6288,60,60,32000,False
quickcheck,imbalanced_choice,2322,60,60,32000,False
quickcheck,protocol_message,1112,60,60,32000,False
smallcheck,action_space,2496,60,60,32000,True
smallcheck,balanced_product,2048,60,60,32000,True
smallcheck,dependent_record,6288,60,60,32000,True
smallcheck,imbalanced_choice,2322,60,60,32000,True
smallcheck,protocol_message,1112,60,60,32000,True
