family,metric,comparator,orientation,pairs,wins,ties,losses,mean_oriented_difference,median_oriented_difference,median_ci_low,median_ci_high,rank_biserial,p_value,p_holm,significant_0_05
coverage,unique_rate,feat,positive_means_pdrs_better,300,0,300,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
bug_discovery,uniform_bugs,feat,positive_means_pdrs_better,300,81,156,63,0.81,0.0,0.0,0.0,0.19157088122605365,0.04406506114306202,0.22032530571531012,False
bug_discovery,rare_branch_bugs,feat,positive_means_pdrs_better,300,43,221,36,0.05333333333333334,0.0,0.0,0.0,0.0930379746835443,0.45884621756141264,0.9176924351228253,False
bug_discovery,boundary_bugs,feat,positive_means_pdrs_better,300,66,160,74,-0.11333333333333333,0.0,0.0,0.0,-0.12391084093211753,0.19446984667176048,0.7778793866870419,False
bug_discovery,clustered_bugs,feat,positive_means_pdrs_better,300,77,162,61,0.12666666666666668,0.0,0.0,0.0,0.1019705974350954,0.29429763808590803,0.8828929142577241,False
bug_discovery,interaction_bugs,feat,positive_means_pdrs_better,300,68,149,83,-0.006666666666666667,0.0,0.0,0.0,-0.036598117811084,0.6926767621228396,0.9176924351228253,False
first_bug,uniform_first,feat,positive_means_pdrs_better,300,87,127,86,0.4166666666666667,0.0,0.0,0.0,0.026177662613779816,0.7652230863848338,1.0,False
first_bug,rare_branch_first,feat,positive_means_pdrs_better,300,57,191,52,3.98,0.0,0.0,0.0,0.07489574645537948,0.49726106084051536,1.0,False
first_bug,boundary_first,feat,positive_means_pdrs_better,300,56,174,70,-5.943333333333333,0.0,0.0,0.0,-0.19247594050743658,0.06077982902316171,0.24311931609264684,False
first_bug,clustered_first,feat,positive_means_pdrs_better,300,101,147,52,4.426666666666667,0.0,0.0,0.0,0.2452253628724217,0.008498727482240492,0.05099236489344295,False
first_bug,interaction_first,feat,positive_means_pdrs_better,300,63,128,109,-22.816666666666666,0.0,0.0,0.0,-0.3620782363220863,3.811598652272901e-05,0.00034304387870456106,True
