family,metric,comparator,pairs,wins,ties,losses
coverage,unique_rate,feat,300,0,300,0
bug_discovery,uniform_bugs,feat,300,81,156,63
bug_discovery,rare_branch_bugs,feat,300,43,221,36
bug_discovery,boundary_bugs,feat,300,66,160,74
bug_discovery,clustered_bugs,feat,300,77,162,61
bug_discovery,interaction_bugs,feat,300,68,149,83
first_bug,uniform_first,feat,300,87,127,86
first_bug,rare_branch_first,feat,300,57,191,52
first_bug,boundary_first,feat,300,56,174,70
first_bug,clustered_first,feat,300,101,147,52
first_bug,interaction_first,feat,300,63,128,109
throughput_exploratory,source_objects_per_s,feat,300,0,0,300
coverage,unique_rate,smallcheck,300,0,300,0
bug_discovery,uniform_bugs,smallcheck,300,148,58,94
bug_discovery,rare_branch_bugs,smallcheck,300,0,12,288
bug_discovery,boundary_bugs,smallcheck,300,0,3,297
bug_discovery,clustered_bugs,smallcheck,300,272,28,0
bug_discovery,interaction_bugs,smallcheck,300,36,28,236
first_bug,uniform_first,smallcheck,300,149,12,139
first_bug,rare_branch_first,smallcheck,300,3,0,297
first_bug,boundary_first,smallcheck,300,0,6,294
first_bug,clustered_first,smallcheck,300,272,28,0
first_bug,interaction_first,smallcheck,300,0,6,294
throughput_exploratory,source_objects_per_s,smallcheck,300,0,0,300
coverage,unique_rate,hypothesis,300,0,300,0
bug_discovery,uniform_bugs,hypothesis,300,159,46,95
bug_discovery,rare_branch_bugs,hypothesis,300,4,15,281
bug_discovery,boundary_bugs,hypothesis,300,1,4,295
bug_discovery,clustered_bugs,hypothesis,300,169,50,81
bug_discovery,interaction_bugs,hypothesis,300,77,51,172
first_bug,uniform_first,hypothesis,300,166,10,124
first_bug,rare_branch_first,hypothesis,300,0,0,300
first_bug,boundary_first,hypothesis,300,0,6,294
first_bug,clustered_first,hypothesis,300,188,15,97
first_bug,interaction_first,hypothesis,300,0,6,294
throughput_exploratory,source_objects_per_s,hypothesis,300,300,0,0
coverage,unique_rate,grammarinator,300,0,300,0
bug_discovery,uniform_bugs,grammarinator,300,149,60,91
bug_discovery,rare_branch_bugs,grammarinator,300,17,19,264
bug_discovery,boundary_bugs,grammarinator,300,31,20,249
bug_discovery,clustered_bugs,grammarinator,300,174,52,74
bug_discovery,interaction_bugs,grammarinator,300,95,48,157
first_bug,uniform_first,grammarinator,300,166,13,121
first_bug,rare_branch_first,grammarinator,300,27,0,273
first_bug,boundary_first,grammarinator,300,56,10,234
first_bug,clustered_first,grammarinator,300,183,13,104
first_bug,interaction_first,grammarinator,300,97,12,191
throughput_exploratory,source_objects_per_s,grammarinator,300,300,0,0
coverage,unique_rate,quickcheck,300,299,1,0
bug_discovery,uniform_bugs,quickcheck,300,222,36,42
bug_discovery,rare_branch_bugs,quickcheck,300,30,20,250
bug_discovery,boundary_bugs,quickcheck,300,71,12,217
bug_discovery,clustered_bugs,quickcheck,300,232,33,35
bug_discovery,interaction_bugs,quickcheck,300,165,38,97
first_bug,uniform_first,quickcheck,300,172,14,114
first_bug,rare_branch_first,quickcheck,300,33,4,263
first_bug,boundary_first,quickcheck,300,66,3,231
first_bug,clustered_first,quickcheck,300,208,13,79
first_bug,interaction_first,quickcheck,300,99,14,187
throughput_exploratory,source_objects_per_s,quickcheck,300,0,0,300
uniformity,object_total_variation,feat,15,0,15,0
uniformity,branch_total_variation,feat,15,3,7,5
uniformity,object_total_variation,smallcheck,15,15,0,0
uniformity,branch_total_variation,smallcheck,15,12,3,0
uniformity,object_total_variation,hypothesis,15,15,0,0
uniformity,branch_total_variation,hypothesis,15,12,3,0
uniformity,object_total_variation,grammarinator,15,13,0,2
uniformity,branch_total_variation,grammarinator,15,12,3,0
uniformity,object_total_variation,quickcheck,15,15,0,0
uniformity,branch_total_variation,quickcheck,15,12,3,0
parallel_overlap,overlap_fraction,feat,5,0,5,0
parallel_overlap,overlap_fraction,smallcheck,5,0,5,0
parallel_overlap,overlap_fraction,hypothesis,5,5,0,0
parallel_overlap,overlap_fraction,grammarinator,5,5,0,0
parallel_overlap,overlap_fraction,quickcheck,5,5,0,0
exact_throughput_exploratory,objects_per_s,feat,5,0,0,5
exact_throughput_exploratory,objects_per_s,smallcheck,5,5,0,0
