method,domain,repetition,budget,produced,valid,validity_rate,unique,unique_rate,duplicates,branch_coverage,elapsed_s,objects_per_s,uniform_bugs,uniform_first,rare_branch_bugs,rare_branch_first,boundary_bugs,boundary_first,clustered_bugs,clustered_first,interaction_bugs,interaction_first,source_budget,source_elapsed_s,source_objects_per_s
feat,action_space,0,100,100,100,1.0,100,1.0,0,1.0,0.0003485279999964064,286920.9934382061,1,76,3,35,1,5,1,49,0,101,1000,0.0003485279999964064,2869209.9343820605
feat,action_space,0,500,500,500,1.0,500,1.0,0,1.0,0.0003485279999964064,1434604.9671910303,6,76,9,35,6,5,5,49,4,134,1000,0.0003485279999964064,2869209.9343820605
feat,action_space,0,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0003485279999964064,2869209.9343820605,11,76,13,35,9,5,14,49,13,134,1000,0.0003485279999964064,2869209.9343820605
feat,action_space,1,100,100,100,1.0,100,1.0,0,1.0,0.00032868799999619114,304239.88706967945,1,53,1,95,2,1,2,27,0,101,1000,0.00032868799999619114,3042398.8706967947
feat,action_space,1,500,500,500,1.0,500,1.0,0,1.0,0.00032868799999619114,1521199.4353483974,5,53,8,95,7,1,5,27,6,144,1000,0.00032868799999619114,3042398.8706967947
feat,action_space,1,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00032868799999619114,3042398.8706967947,12,53,13,95,15,1,19,27,16,144,1000,0.00032868799999619114,3042398.8706967947
feat,action_space,2,100,100,100,1.0,100,1.0,0,1.0,0.00032368100000468303,308946.15377038874,0,101,4,37,0,101,0,101,1,20,1000,0.00032368100000468303,3089461.5377038876
feat,action_space,2,500,500,500,1.0,500,1.0,0,1.0,0.00032368100000468303,1544730.7688519438,6,182,7,37,3,160,4,217,4,20,1000,0.00032368100000468303,3089461.5377038876
feat,action_space,2,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00032368100000468303,3089461.5377038876,17,182,11,37,9,160,11,217,12,20,1000,0.00032368100000468303,3089461.5377038876
feat,action_space,3,100,100,100,1.0,100,1.0,0,1.0,0.00033748100000252634,296312.97761726263,0,101,2,72,1,52,3,39,0,101,1000,0.00033748100000252634,2963129.7761726263
feat,action_space,3,500,500,500,1.0,500,1.0,0,1.0,0.00033748100000252634,1481564.8880863131,1,403,8,72,3,52,11,39,4,108,1000,0.00033748100000252634,2963129.7761726263
feat,action_space,3,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00033748100000252634,2963129.7761726263,5,403,11,72,11,52,17,39,13,108,1000,0.00033748100000252634,2963129.7761726263
feat,action_space,4,100,100,100,1.0,100,1.0,0,1.0,0.00033753099999955793,296269.0834327246,1,51,0,101,1,86,0,101,3,86,1000,0.00033753099999955793,2962690.834327246
feat,action_space,4,500,500,500,1.0,500,1.0,0,1.0,0.00033753099999955793,1481345.417163623,5,51,8,239,3,86,4,104,10,86,1000,0.00033753099999955793,2962690.834327246
feat,action_space,4,1000,1000,1000,1.0,1000,1.0,0,1.0,0.00033753099999955793,2962690.834327246,8,51,14,239,11,86,8,104,18,86,1000,0.00033753099999955793,2962690.834327246
