method,domain,budget,samples,object_total_variation,branch_total_variation,chi_square_p
pdrs,balanced_product,100,2000,0.37255859375,0.0,nan
feat,balanced_product,100,2000,0.37255859375,0.0,nan
smallcheck,balanced_product,100,2000,0.951171875,0.0,nan
hypothesis,balanced_product,100,2000,0.5517578125000001,0.0,nan
grammarinator,balanced_product,100,2000,0.36865234375,0.0,nan
quickcheck,balanced_product,100,2000,0.384765625,0.0,nan
pdrs,balanced_product,500,10000,0.15972421874999998,0.0,nan
feat,balanced_product,500,10000,0.15972421874999998,0.0,nan
smallcheck,balanced_product,500,10000,0.755859375,0.0,nan
hypothesis,balanced_product,500,10000,0.366215625,0.0,nan
grammarinator,balanced_product,500,10000,0.15598203125000001,0.0,nan
quickcheck,balanced_product,500,10000,0.18134375,0.0,nan
pdrs,balanced_product,1000,20000,0.0920578125,0.0,1.0
feat,balanced_product,1000,20000,0.0920578125,0.0,1.0
smallcheck,balanced_product,1000,20000,0.51171875,0.0,0.0
hypothesis,balanced_product,1000,20000,0.2139046875,0.0,0.0
grammarinator,balanced_product,1000,20000,0.09239296875000001,0.0,1.0
quickcheck,balanced_product,1000,20000,0.12726953125,0.0,0.6550492067207625
pdrs,imbalanced_choice,100,2000,0.4207579672695952,0.00799827734711456,nan
feat,imbalanced_choice,100,2000,0.4207579672695952,0.00799827734711456,nan
smallcheck,imbalanced_choice,100,2000,0.9569336778639105,0.4719982773471145,nan
hypothesis,imbalanced_choice,100,2000,0.6640826873385013,0.3484982773471146,nan
grammarinator,imbalanced_choice,100,2000,0.5611541774332471,0.4179982773471146,nan
quickcheck,imbalanced_choice,100,2000,0.7140396210163651,0.6429982773471146,nan
pdrs,imbalanced_choice,500,10000,0.1726287683031869,0.0026982773471145687,nan
feat,imbalanced_choice,500,10000,0.1726287683031869,0.0026982773471145687,nan
smallcheck,imbalanced_choice,500,10000,0.7846683893195522,0.3999982773471146,nan
hypothesis,imbalanced_choice,500,10000,0.4505677863910422,0.2281982773471145,nan
grammarinator,imbalanced_choice,500,10000,0.3193327304048234,0.27809827734711456,nan
quickcheck,imbalanced_choice,500,10000,0.6347609819121447,0.6321982773471145,nan
pdrs,imbalanced_choice,1000,20000,0.10479612403100776,0.0021002153316106945,1.0
feat,imbalanced_choice,1000,20000,0.10479612403100776,0.0021002153316106945,1.0
smallcheck,imbalanced_choice,1000,20000,0.5693367786391044,0.15599827734711458,0.0
hypothesis,imbalanced_choice,1000,20000,0.3279987080103359,0.15599827734711458,0.0
grammarinator,imbalanced_choice,1000,20000,0.18162881136950904,0.14754827734711454,7.33238450097586e-235
quickcheck,imbalanced_choice,1000,20000,0.6332176141257537,0.6330982773471145,0.0
pdrs,dependent_record,100,2000,0.7248727735368958,0.006599236641221395,nan
feat,dependent_record,100,2000,0.7248727735368958,0.006199745547073788,nan
smallcheck,dependent_record,100,2000,0.9840966921119594,0.5970992366412214,nan
hypothesis,dependent_record,100,2000,0.8094783715012723,0.18359923664122146,nan
grammarinator,dependent_record,100,2000,0.8035941475826973,0.3710992366412214,nan
quickcheck,dependent_record,100,2000,0.8266539440203564,0.4630992366412214,nan
pdrs,dependent_record,500,10000,0.3140791348600509,0.003699745547073776,nan
feat,dependent_record,500,10000,0.3140791348600509,0.0036997455470737916,nan
smallcheck,dependent_record,500,10000,0.9204834605597965,0.31139949109414755,nan
hypothesis,dependent_record,500,10000,0.503303562340967,0.1328992366412214,nan
grammarinator,dependent_record,500,10000,0.4199600508905852,0.26769949109414753,nan
quickcheck,dependent_record,500,10000,0.5725223918575064,0.4762992366412214,nan
pdrs,dependent_record,1000,20000,0.20710407124681934,0.006705979643765909,nan
feat,dependent_record,1000,20000,0.20710407124681934,0.0069559796437659175,nan
smallcheck,dependent_record,1000,20000,0.840966921119593,0.2313994910941476,nan
hypothesis,dependent_record,1000,20000,0.4266435114503817,0.1117992366412214,nan
grammarinator,dependent_record,1000,20000,0.28650928753180666,0.2092494910941476,nan
quickcheck,dependent_record,1000,20000,0.5181571246819339,0.4734492366412214,nan
pdrs,protocol_message,100,2000,0.2983237410071943,0.004248201438848893,nan
feat,protocol_message,100,2000,0.2983237410071943,0.0017482014388489182,nan
smallcheck,protocol_message,100,2000,0.9100719424460431,0.5008633093525181,nan
hypothesis,protocol_message,100,2000,0.6041079136690648,0.439363309352518,nan
grammarinator,protocol_message,100,2000,0.5386223021582733,0.482363309352518,nan
quickcheck,protocol_message,100,2000,0.6795323741007194,0.6648633093525179,nan
pdrs,protocol_message,500,10000,0.09686618705035971,0.00035179856115112075,1.0
feat,protocol_message,500,10000,0.09686618705035971,0.003736690647481981,1.0
smallcheck,protocol_message,500,10000,0.5503597122302158,0.09686330935251804,0.0
hypothesis,protocol_message,500,10000,0.2813129496402878,0.09686330935251804,0.0
grammarinator,protocol_message,500,10000,0.14547194244604317,0.09686330935251804,3.9519911143430146e-39
quickcheck,protocol_message,500,10000,0.675263309352518,0.675263309352518,0.0
pdrs,protocol_message,1000,20000,0.02902302158273381,0.0005575539568345653,1.0
feat,protocol_message,1000,20000,0.02902302158273381,0.0006575539568345556,1.0
smallcheck,protocol_message,1000,20000,0.10071942446043164,0.008863309352517992,1.6958465306765175e-78
hypothesis,protocol_message,1000,20000,0.0481,0.008863309352517992,1.0
grammarinator,protocol_message,1000,20000,0.03265719424460431,0.008863309352517992,1.0
quickcheck,protocol_message,1000,20000,0.672013309352518,0.672013309352518,0.0
pdrs,action_space,100,2000,0.4467147435897436,0.005294871794871779,nan
feat,action_space,100,2000,0.4467147435897436,0.0038589743589743375,nan
smallcheck,action_space,100,2000,0.9599358974358974,0.5705128205128205,nan
hypothesis,action_space,100,2000,0.6919070512820513,0.45501282051282055,nan
grammarinator,action_space,100,2000,0.6374198717948718,0.5425128205128205,nan
quickcheck,action_space,100,2000,0.6510416666666667,0.5645128205128206,nan
pdrs,action_space,500,10000,0.1783948717948718,0.007646153846153872,nan
feat,action_space,500,10000,0.17839487179487176,0.0030948717948717647,nan
smallcheck,action_space,500,10000,0.7996794871794871,0.44851282051282054,nan
hypothesis,action_space,500,10000,0.5009224358974359,0.3694128205128205,nan
grammarinator,action_space,500,10000,0.4357621794871795,0.42591282051282053,nan
quickcheck,action_space,500,10000,0.5775051282051281,0.5749128205128204,nan
pdrs,action_space,1000,20000,0.10858333333333334,0.0030461538461538373,1.0
feat,action_space,1000,20000,0.10858333333333334,0.0015820512820513,1.0
smallcheck,action_space,1000,20000,0.5993589743589743,0.2685128205128205,0.0
hypothesis,action_space,1000,20000,0.3946942307692307,0.2683128205128205,0.0
grammarinator,action_space,1000,20000,0.2616173076923077,0.2499128205128205,0.0
quickcheck,action_space,1000,20000,0.5718121794871796,0.5716628205128206,0.0
