method,domain,workers,budget_per_worker,total_unique_worker_outputs,union,overlap_fraction
pdrs,balanced_product,4,500,2000,2000,0.0
feat,balanced_product,4,500,2000,2000,0.0
smallcheck,balanced_product,4,500,2000,2000,0.0
hypothesis,balanced_product,4,500,2000,1143,0.4285
grammarinator,balanced_product,4,500,2000,1400,0.3
quickcheck,balanced_product,4,500,1779,1284,0.2782462057335582
pdrs,imbalanced_choice,4,500,2000,2000,0.0
feat,imbalanced_choice,4,500,2000,2000,0.0
smallcheck,imbalanced_choice,4,500,2000,2000,0.0
hypothesis,imbalanced_choice,4,500,2000,1095,0.4525
grammarinator,imbalanced_choice,4,500,2000,1254,0.373
quickcheck,imbalanced_choice,4,500,931,658,0.2932330827067669
pdrs,dependent_record,4,500,2000,2000,0.0
feat,dependent_record,4,500,2000,2000,0.0
smallcheck,dependent_record,4,500,2000,2000,0.0
hypothesis,dependent_record,4,500,2000,1451,0.2745
grammarinator,dependent_record,4,500,2000,1518,0.241
quickcheck,dependent_record,4,500,1389,1062,0.23542116630669546
pdrs,protocol_message,4,278,1112,1112,0.0
feat,protocol_message,4,278,1112,1112,0.0
smallcheck,protocol_message,4,278,1112,1112,0.0
hypothesis,protocol_message,4,278,2000,878,0.561
grammarinator,protocol_message,4,278,2000,968,0.516
quickcheck,protocol_message,4,278,784,481,0.3864795918367347
pdrs,action_space,4,500,2000,2000,0.0
feat,action_space,4,500,2000,2000,0.0
smallcheck,action_space,4,500,2000,2000,0.0
hypothesis,action_space,4,500,2000,1046,0.477
grammarinator,action_space,4,500,2000,1118,0.441
quickcheck,action_space,4,500,1436,852,0.40668523676880225
